"","player","hero","time","dmg","bdmg","blk","dmgtaken","deaths","elims","kills","envkills","healing","objkills","solokills","ultsearned","ultsused","scorediff","sdpersec"
"1","ŽØŘŘØŴ","Sojourn",7994.59,92348.68,46063.23,0,45814.57,76,179,94,0,0,54,18,31,29,914.49,2.43926924353741
"2","Another1","Sojourn",8196.87,99714.75,30459.95,0,42549.23,76,218,99,0,0,63,16,31,25,-965.68,-3.45900900881715
"3","AOY","Lúcio",2948.88,14772.14,3419.86,0,14104.39,16,38,5,3,32081.28,17,2,14,15,-190.69,-0.536776279760586
"4","Avoria","Sojourn",2055.15,25480.69,12469.14,0,11658.8,19,72,36,0,0,16,4,10,9,375.05,1.52468212251907
"5","darusianboyi","Winston",1915.58,25339.54,5153.15,39081.11,43794.92,23,48,16,0,0,19,1,12,12,412.23,1.64082751389534
"6","Daven","Reaper",2002.23,19569.68,10522.42,0,22263.2,29,38,11,0,4778.77,15,0,9,8,273.23,1.2012205356397
"7","Daven","Tracer",3182.28,29105.32,9381.42,0,18200.72,39,67,27,0,0,19,2,23,22,284.24,1.0666734154675
"8","Demonoir","Genji",2832.42,32594.54,1472.72,0,16363.64,27,64,31,0,24.53,18,5,13,13,-457.29,-2.37993711169843
"9","Demonoir","Reaper",23561.99,346321.33,157838.64,0,257331.2,198,840,405,0,69902.65,315,29,115,114,-1728.9,-9.32553638793083
"10","Demonoir","Sojourn",12274.4,140232.63,52456.84,0,63245.72,105,353,159,0,0,128,27,57,57,-1269.68,-2.97489708393442
"11","Demonoir","Tracer",4365.18,41832.22,2154.5,0,18762.17,44,94,45,0,0,27,6,28,27,-382.82,-1.50816101000539
"12","Depsi","Roadhog",2435.37,30351.49,9343.34,0,64261.59,15,72,42,1,25316.3,22,3,15,14,365.84,0.992014338945996
"13","Dip","Reaper",2763.77,39962.5,23245.67,0,32989.47,30,83,41,0,7885.61,40,1,13,12,220.07,0.784514110350191
"14","Dip","Tracer",1864.79,25797.57,6891.61,0,9713.16,11,61,28,0,0,22,4,19,18,156.05,0.766757047142613
"15","Eisgnom9","Winston",1942.28,18642.37,1762.79,43128.32,43067.58,19,40,13,0,0,15,0,9,9,-56.07,-0.63098938096704
"16","Failure","Sojourn",3016.43,42659.53,11451.05,0,18527.67,27,82,39,0,0,29,7,17,17,192.86,0.488840167340042
"17","FNGUK","Lúcio",3240.11,18701.68,8748.04,0,22818.51,41,61,13,3,35055.27,21,0,17,15,268.85,1.03684767515716
"18","Fuki","Sojourn",2994.24,40946.85,6641.88,0,23144.1,31,65,40,0,0,28,4,15,15,-207.98,-0.509716952398855
"19","FUMI","Lúcio",4070.72,18102.08,15022.18,0,28007.39,47,42,8,2,46745.91,18,1,17,17,392.34,1.21764022502216
"20","GaaRa","Lúcio",2266.83,11415.84,6111.2,0,12598.52,13,54,12,1,28587.66,16,0,12,10,409.1,1.58247297586721
"21","Glebabase","Sojourn",8297.96,110816.57,51942.59,0,55019.23,103,233,105,0,0,73,12,39,40,912.73,3.2436560084557
"22","gogo","Lúcio",4952.24,30221.09,18121.96,0,31633.32,44,87,23,2,54112.38,39,0,24,24,341.78,1.03450276540001
"23","Grease","Lúcio",52814.97,282028.13,142798.11,0,300068.2,407,1031,205,15,548071.53,404,6,249,239,-5002.93,-15.6261328294685
"24","GrouinK","Winston",8520.44,92615.72,19845.14,181756.48,176686.88,97,184,61,4,0,71,6,40,39,651.07,1.95090548278886
"25","Helmerdrake","Lúcio",2584.67,11754.44,3407.12,0,14517.45,15,59,19,0,22219.02,11,1,12,11,397.63,1.15418980257632
"26","Jebaited","Lúcio",7774.73,48654.71,27065.72,0,49255.44,70,156,34,4,88431.44,59,2,41,40,851.71,3.65925772039846
